sector,pearson_r,mean_abs_diff,sign_agreement_pct,n_days,n_sign_days
Comm,0.5575157309640683,0.09344148277805737,95.12437810945273,1006,1005
Consumer,0.6671682557356736,0.08729728728712034,98.1094527363184,1006,1005
Energy,0.6863968300022742,0.0888401664133028,88.55721393034825,1006,1005
Financials,0.6753127949183692,0.0609913664738498,94.92537313432837,1006,1005
Healthcare,0.5290125912904746,0.09049173751741257,97.61194029850746,1006,1005
Industrials,0.5993912532085297,0.07825709151397221,93.93034825870646,1006,1005
Materials,0.5894162571173686,0.08345162673313643,85.57213930348259,1006,1005
RealEstate,0.475108301721681,0.12346276063151738,96.41791044776119,1006,1005
Tech,0.6335202203082174,0.0923230420210797,97.01492537313433,1006,1005
Utilities,0.4822530097589735,0.14593377736906718,96.11940298507463,1006,1005
ALL,0.5785638521355397,0.09444903387385159,94.33830845771143,10060,10050
